|url|number_of_rooms|region|price_dollar|what_floor|max_of_floors|type|state|house_type|ceiling_height|area|kitchen_area|year|heating|furniture|docs|exchange_possible|installment_plan|mortgage_possible|from_whom|lat|lon|added|upped|view|like
0|https://www.house.kg/details/141579566ed52b0b8af89-67223696|1-комн. кв., 50 м2|Бишкек|85000.0|9|14|элитка|евроремонт|монолитный|3 м.|50 м2||2019 г.|центральное|полностью меблирована|договор купли-продажи, технический паспорт||нет|нет|от агента|42.8191|74.6141|Добавлено 12 минут назад|Поднято 3 минуты назад|8.0|
1|https://www.house.kg/details/757010366ed4f9839b185-48292092|2-комн. кв., 50 м2|Бишкек|85500.0|9|14|элитка|евроремонт|монолитный|3 м.|50 м2||2019 г.|центральное|полностью меблирована|договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, зеленая книга|обмен не предлагать|||от агента|42.819|74.6145|Добавлено 25 минут назад|Поднято 4 минуты назад|6.0|
2|https://www.house.kg/details/755522466ed5461a8c628-44680843|1-комн. кв., 45.9 м2|Бишкек|61000.0|6|8|элитка|евроремонт|кирпичный|3 м.|45.9 м2||2019 г.|центральное|частично меблирована|технический паспорт||нет|нет|от агента|41.6514|72.5336|Добавлено 5 минут назад||4.0|
3|https://www.house.kg/details/802162166a7d47da19c09-72776718|1-комн. кв., 38 м2|Бишкек|54000.0|4|4|104 серия|хорошее|панельный|2 м.|38 м2||1970 г.|центральное||договор купли-продажи||||от собственника|42.836|74.6247|Добавлено 2 месяца назад|Поднято 6 минут назад|752.0|13.0
4|https://www.house.kg/details/449028566ed54037b8d28-62375507|2-комн. кв., 50 м2|Бишкек|68000.0|4|5|индивид. планировка|евроремонт|кирпичный||50 м2|||центральное||||||от агента|42.8778|74.6674|Добавлено 7 минут назад||3.0|
5|https://www.house.kg/details/174696466ed53554d9390-61766665|3-комн. кв., 57 м2|Бишкек|80500.0|2|5|индивид. планировка|хорошее|кирпичный||57 м2|м2||центральное|частично меблирована|технический паспорт|рассмотрю варианты||есть|от агента|42.8659|74.589|Добавлено 10 минут назад||11.0|
6|https://www.house.kg/details/734303366ed531eb101d0-16628062|3-комн. кв., 58 м2|Бишкек|74000.0|1|4|104 серия|среднее|панельный||58 м2|||центральное||технический паспорт, красная книга||||от агента|42.8244|74.6267|Добавлено 11 минут назад||5.0|
7|https://www.house.kg/details/303450766ed52d4a93402-01089598|3-комн. кв., 104 м2|Бишкек|95680.0|4|12|элитка|под самоотделку (псо)|монолитный|3.1 м.|104 м2||2024 г.|на газе||договор долевого участия, красная книга||||от агента|42.8181|74.6043|Добавлено 12 минут назад||8.0|
8|https://www.house.kg/details/780181266ed52c13a4038-07411438|1-комн. кв., 41 м2|Бишкек|66500.0|7|9|106 серия|хорошее|панельный||41 м2|||центральное|полностью меблирована|технический паспорт||||от агента|42.8713|74.6238|Добавлено 12 минут назад||3.0|
9|https://www.house.kg/details/97281236570c79d5c13b9-81509289|2-комн. кв., 80 м2|Бишкек|128000.0|11|14|элитка|под самоотделку (псо)|монолитный|3.1 м.|80 м2||2023 г.|центральное|пустая|договор долевого участия, красная книга|рассмотрю варианты|||от собственника|42.8717|74.594|Добавлено 10 месяцев назад|Поднято 13 минут назад|2199.0|6.0
10|https://www.house.kg/details/171257966ed5246314373-24649969|1-комн. кв., 46 м2|Бишкек|71000.0|6|10|элитка|евроремонт|монолитный|3 м.|46 м2||2017 г.|электрическое|частично меблирована|зеленая книга, договор купли-продажи, технический паспорт||||от собственника|42.8169|74.6215|Добавлено 14 минут назад||5.0|
11|https://www.house.kg/details/395767066ed486de07cb6-74058123|1-комн. кв., 33 м2|Бишкек|44000.0|6|12|элитка|под самоотделку (псо)|монолитный||33 м2||2023 г.|на газе||договор долевого участия||||от агента|42.813|74.6193|Добавлено 56 минут назад|Поднято 15 минут назад|9.0|
12|https://www.house.kg/details/886964366ed410ce628c3-57857792|1-комн. кв., 35 м2|Бишкек|49800.0|10|14|105 серия|среднее|панельный||35 м2|||центральное||технический паспорт, красная книга||||от агента|42.8217|74.6302|Добавлено 1 час назад|Поднято 15 минут назад|19.0|
13|https://www.house.kg/details/65152966aa1d12e68158-45112745|3-комн. кв., 58 м2|Бишкек|78000.0|1|5|104 серия|евроремонт|панельный||58 м2||1979 г.|центральное||договор купли-продажи, технический паспорт||||от собственника|42.8512|74.5935|Добавлено 2 месяца назад|Поднято 15 минут назад|536.0|
14|https://www.house.kg/details/790956766950d6ec825b1-32672356|1-комн. кв., 43 м2|Бишкек|52000.0|10|20|элитка|под самоотделку (псо)|монолитный||43 м2||2024 г.|центральное||договор долевого участия, красная книга||||от агента|42.8644|74.5878|Добавлено 2 месяца назад|Поднято 20 минут назад|758.0|5.0
15|https://www.house.kg/details/675352266951c03caa8b4-12376455|1-комн. кв., 41 м2|Бишкек|40000.0|9|10|индивид. планировка|под самоотделку (псо)|монолитный|3 м.|41 м2||2024 г.|||договор долевого участия, красная книга||||от агента|42.8585|74.6315|Добавлено 2 месяца назад|Поднято 21 минуту назад|683.0|3.0
16|https://www.house.kg/details/856630366b4ab65f08d42-22216861|2-комн. кв., 60 м2|Бишкек|82500.0|5|5|индивид. планировка|хорошее|кирпичный|3 м.|60 м2||1989 г.|центральное|полностью меблирована|технический паспорт, договор купли-продажи||||от агента|42.8748|74.6086|Добавлено 1 месяц назад|Поднято 21 минуту назад|889.0|4.0
17|https://www.house.kg/details/293290565dc85152d3f58-39347693|2-комн. кв., 42 м2|Бишкек|59000.0|13|16|105 серия|среднее|панельный||42 м2||1987 г.|центральное||технический паспорт, договор купли-продажи||||от агента|42.8348|74.613|Добавлено 7 месяцев назад|Поднято 22 минуты назад|2453.0|13.0
18|https://www.house.kg/details/235935266d958d5275a13-73947155|2-комн. кв., 46 м2|Бишкек|67000.0|4|5|104 серия|евроремонт|панельный||46 м2|||центральное|частично меблирована|договор купли-продажи, технический паспорт||||от агента|42.867|74.6196|Добавлено 15 дней назад|Поднято 22 минуты назад|236.0|1.0
19|https://www.house.kg/details/7192246640e6e945fd00-96677603|3-комн. кв., 80 м2|Бишкек|65000.0|1|3|индивид. планировка|евроремонт|кирпичный||80 м2|||центральное|полностью меблирована|договор купли-продажи, технический паспорт||||от агента|42.8866|74.5235|Добавлено 4 месяца назад|Поднято 23 минуты назад|1335.0|6.0
20|https://www.house.kg/details/7192246640e6e945fd00-96677603|3-комн. кв., 80 м2|Бишкек|65000.0|1|3|индивид. планировка|евроремонт|кирпичный||80 м2|||центральное|полностью меблирована|договор купли-продажи, технический паспорт||||от агента|42.8866|74.5235|Добавлено 4 месяца назад|Поднято 23 минуты назад|1336.0|6.0
21|https://www.house.kg/details/257665066d956e42ff102-65976307|2-комн. кв., 44 м2|Бишкек|65500.0|2|4|индивид. планировка|евроремонт|панельный||44 м2|||центральное||||||от агента|42.8745|74.5737|Добавлено 15 дней назад|Поднято 23 минуты назад|278.0|2.0
22|https://www.house.kg/details/891549366bcf718e21397-80703119|1-комн. кв., 45 м2|Бишкек|59500.0|8|9|106 серия улучшенная|хорошее|панельный||45 м2||2015 г.|центральное||технический паспорт, договор купли-продажи||есть|есть|от агента|42.8691|74.6326|Добавлено 1 месяц назад|Поднято 24 минуты назад|307.0|1.0
23|https://www.house.kg/details/458012566e2b93b37ab18-96086470|2-комн. кв., 70 м2|Бишкек|89500.0|9|9|элитка|евроремонт|кирпичный||70 м2|||на газе||договор долевого участия, красная книга||||от агента|42.846|74.563|Добавлено 8 дней назад|Поднято 24 минуты назад|121.0|
